Module                  Size  Used by
Hello                  12288  0
hello_5                12288  0
ccm                    20480  9
rfcomm                102400  4
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
snd_hda_codec_realtek   212992  1
snd_hda_codec_generic   122880  1 snd_hda_codec_realtek
snd_hda_scodec_component    20480  1 snd_hda_codec_realtek
qrtr                   53248  2
cmac                   12288  3
algif_hash             16384  1
algif_skcipher         12288  1
af_alg                 32768  6 algif_hash,algif_skcipher
bnep                   32768  2
snd_sof_pci_intel_skl    24576  0
snd_sof_intel_hda_generic    36864  1 snd_sof_pci_intel_skl
soundwire_intel        77824  1 snd_sof_intel_hda_generic
soundwire_cadence      45056  1 soundwire_intel
snd_sof_intel_hda_common   188416  2 snd_sof_intel_hda_generic,snd_sof_pci_intel_skl
snd_soc_hdac_hda       24576  1 snd_sof_intel_hda_common
snd_sof_intel_hda_mlink    45056  3 soundwire_intel,snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_sof_intel_hda      24576  2 snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_hda_codec_hdmi     98304  1
snd_sof_pci            24576  2 snd_sof_intel_hda_generic,snd_sof_pci_intel_skl
snd_sof_xtensa_dsp     12288  1 snd_sof_intel_hda_generic
snd_sof               393216  5 snd_sof_pci,snd_sof_intel_hda_common,snd_sof_intel_hda_generic,snd_sof_intel_hda,snd_sof_pci_intel_skl
snd_sof_utils          16384  1 snd_sof
snd_soc_acpi_intel_match   135168  2 snd_sof_intel_hda_generic,snd_sof_pci_intel_skl
snd_soc_acpi_intel_sdca_quirks    12288  1 snd_soc_acpi_intel_match
soundwire_generic_allocation    24576  1 soundwire_intel
snd_soc_acpi           16384  2 snd_soc_acpi_intel_match,snd_sof_intel_hda_generic
soundwire_bus         126976  3 soundwire_intel,soundwire_generic_allocation,soundwire_cadence
snd_soc_sdca           12288  2 snd_soc_acpi_intel_sdca_quirks,soundwire_bus
snd_soc_avs           200704  0
snd_soc_hda_codec      24576  1 snd_soc_avs
snd_hda_ext_core       32768  6 snd_soc_avs,snd_soc_hda_codec,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda_mlink,snd_sof_intel_hda
snd_soc_core          425984  6 snd_soc_avs,snd_soc_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_hdac_hda
iwlmvm                909312  0
snd_compress           36864  2 snd_soc_avs,snd_soc_core
ac97_bus               12288  1 snd_soc_core
snd_pcm_dmaengine      16384  1 snd_soc_core
snd_hda_intel          61440  1
snd_intel_dspcfg       45056  5 snd_soc_avs,snd_hda_intel,snd_sof,snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_intel_sdw_acpi     16384  2 snd_intel_dspcfg,snd_sof_intel_hda_generic
snd_hda_codec         204800  8 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_codec_realtek,snd_soc_hdac_hda,snd_sof_intel_hda
intel_uncore_frequency    12288  0
intel_uncore_frequency_common    16384  1 intel_uncore_frequency
snd_hda_core          147456  11 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_hda_codec_realtek,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda
mac80211             1814528  1 iwlmvm
snd_hwdep              20480  1 snd_hda_codec
binfmt_misc            24576  1
snd_pcm               192512  14 snd_soc_avs,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_compress,snd_sof_intel_hda_generic,snd_soc_core,snd_sof_utils,snd_hda_core,snd_sof_pci_intel_skl,snd_pcm_dmaengine
intel_tcc_cooling      12288  0
x86_pkg_temp_thermal    20480  0
snd_seq_midi           24576  0
intel_powerclamp       24576  0
libarc4                12288  1 mac80211
coretemp               24576  0
polyval_clmulni        12288  0
snd_seq_midi_event     16384  1 snd_seq_midi
polyval_generic        12288  1 polyval_clmulni
uvcvideo              143360  0
ghash_clmulni_intel    16384  0
sha256_ssse3           32768  0
snd_rawmidi            57344  1 snd_seq_midi
sha1_ssse3             32768  0
btusb                  73728  0
videobuf2_vmalloc      20480  1 uvcvideo
uvc                    12288  1 uvcvideo
aesni_intel           122880  10
btrtl                  32768  1 btusb
videobuf2_memops       16384  1 videobuf2_vmalloc
crypto_simd            16384  1 aesni_intel
btintel                69632  1 btusb
videobuf2_v4l2         36864  1 uvcvideo
iwlwifi               659456  1 iwlmvm
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
hp_wmi                 36864  0
rapl                   20480  0
btbcm                  24576  1 btusb
btmtk                  36864  1 btusb
mei_pxp                16384  0
mei_hdcp               28672  0
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
intel_rapl_msr         20480  0
nls_iso8859_1          12288  1
i915                 4702208  12
intel_cstate           20480  0
intel_wmi_thunderbolt    16384  0
platform_profile       20480  1 hp_wmi
wmi_bmof               12288  0
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
videodev              360448  2 videobuf2_v4l2,uvcvideo
cfg80211             1437696  3 iwlmvm,iwlwifi,mac80211
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
bluetooth            1011712  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
snd                   143360  18 snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
drm_buddy              24576  1 i915
hid_sensor_custom_intel_hinge    12288  0
hid_sensor_gyro_3d     16384  0
hid_sensor_accel_3d    16384  1
hid_sensor_incl_3d     16384  0
hid_sensor_magn_3d     20480  1
hid_sensor_rotation    16384  0
i2c_i801               36864  0
ttm                   118784  1 i915
hid_sensor_trigger     20480  12 hid_sensor_gyro_3d,hid_sensor_custom_intel_hinge,hid_sensor_incl_3d,hid_sensor_accel_3d,hid_sensor_magn_3d,hid_sensor_rotation
i2c_smbus              20480  1 i2c_i801
processor_thermal_device_pci_legacy    12288  0
i2c_mux                16384  1 i2c_i801
industrialio_triggered_buffer    12288  1 hid_sensor_trigger
soundcore              16384  1 snd
drm_display_helper    278528  1 i915
processor_thermal_device    20480  1 processor_thermal_device_pci_legacy
processor_thermal_wt_hint    16384  1 processor_thermal_device
kfifo_buf              12288  1 industrialio_triggered_buffer
hid_sensor_iio_common    24576  7 hid_sensor_gyro_3d,hid_sensor_trigger,hid_sensor_custom_intel_hinge,hid_sensor_incl_3d,hid_sensor_accel_3d,hid_sensor_magn_3d,hid_sensor_rotation
processor_thermal_rfim    40960  1 processor_thermal_device
cec                    94208  2 drm_display_helper,i915
processor_thermal_rapl    16384  1 processor_thermal_device
industrialio          143360  11 industrialio_triggered_buffer,hid_sensor_gyro_3d,hid_sensor_trigger,hid_sensor_custom_intel_hinge,hid_sensor_incl_3d,kfifo_buf,hid_sensor_accel_3d,hid_sensor_magn_3d,hid_sensor_rotation
mei_me                 53248  2
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
processor_thermal_wt_req    12288  1 processor_thermal_device
rc_core                73728  2 cec
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
processor_thermal_power_floor    12288  1 processor_thermal_device
i2c_algo_bit           16384  1 i915
intel_xhci_usb_role_switch    12288  0
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
intel_pch_thermal      20480  0
intel_soc_dts_iosf     16384  1 processor_thermal_device_pci_legacy
int3403_thermal        16384  0
intel_vbtn             16384  0
soc_button_array       24576  0
sparse_keymap          12288  2 hp_wmi,intel_vbtn
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
intel_pmc_core        122880  0
hp_accel               28672  0
pmt_telemetry          16384  1 intel_pmc_core
int3400_thermal        24576  0
lis3lv02d              32768  1 hp_accel
acpi_thermal_rel       20480  1 int3400_thermal
pmt_class              16384  1 pmt_telemetry
wireless_hotkey        12288  0
intel_vsec             20480  1 intel_pmc_core
acpi_pad              184320  0
joydev                 32768  0
input_leds             12288  0
serio_raw              20480  0
mac_hid                12288  0
sch_fq_codel           24576  1
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
hid_sensor_custom      28672  0
hid_sensor_hub         28672  9 hid_sensor_gyro_3d,hid_sensor_trigger,hid_sensor_iio_common,hid_sensor_custom_intel_hinge,hid_sensor_incl_3d,hid_sensor_accel_3d,hid_sensor_magn_3d,hid_sensor_rotation,hid_sensor_custom
intel_ishtp_hid        32768  0
hid_multitouch         36864  0
hid_generic            12288  0
rtsx_pci_sdmmc         36864  0
nvme                   61440  2
nvme_core             225280  3 nvme
psmouse               217088  0
nvme_auth              28672  1 nvme_core
i2c_hid_acpi           12288  0
ahci                   49152  0
intel_ish_ipc          36864  0
intel_lpss_pci         28672  0
i2c_hid                40960  1 i2c_hid_acpi
rtsx_pci              143360  1 rtsx_pci_sdmmc
intel_lpss             12288  1 intel_lpss_pci
libahci                53248  1 ahci
intel_ishtp            73728  2 intel_ishtp_hid,intel_ish_ipc
hid                   262144  5 i2c_hid,hid_multitouch,hid_sensor_hub,intel_ishtp_hid,hid_generic
idma64                 20480  0
video                  77824  1 i915
wmi                    28672  4 hp_wmi,video,intel_wmi_thunderbolt,wmi_bmof
pinctrl_sunrisepoint    28672  1
